size: 568, time: 0.020088 s, speed: 18.244805 GFlops
size: 572, time: 0.008436 s, speed: 44.369377 GFlops
size: 576, time: 0.017614 s, speed: 21.698831 GFlops
size: 580, time: 0.009432 s, speed: 41.372010 GFlops
size: 584, time: 0.007461 s, speed: 53.390915 GFlops
size: 588, time: 0.006935 s, speed: 58.630412 GFlops
size: 592, time: 0.008546 s, speed: 48.555514 GFlops
size: 596, time: 0.007136 s, speed: 59.334523 GFlops
size: 600, time: 0.006704 s, speed: 64.440548 GFlops
size: 604, time: 0.006402 s, speed: 68.837340 GFlops
size: 608, time: 0.008412 s, speed: 53.436147 GFlops
size: 612, time: 0.008683 s, speed: 52.797839 GFlops
size: 616, time: 0.008235 s, speed: 56.768799 GFlops
size: 620, time: 0.008047 s, speed: 59.233236 GFlops
size: 624, time: 0.008836 s, speed: 54.996906 GFlops
size: 628, time: 0.008687 s, speed: 57.021434 GFlops
size: 632, time: 0.008686 s, speed: 58.124352 GFlops
size: 636, time: 0.009140 s, speed: 56.293007 GFlops
size: 640, time: 0.009137 s, speed: 57.379795 GFlops
size: 644, time: 0.008606 s, speed: 62.070955 GFlops
size: 648, time: 0.007537 s, speed: 72.204280 GFlops
size: 652, time: 0.010216 s, speed: 54.261525 GFlops
size: 656, time: 0.008746 s, speed: 64.554234 GFlops
size: 660, time: 0.007926 s, speed: 72.545158 GFlops
size: 664, time: 0.007919 s, speed: 73.938895 GFlops
size: 668, time: 0.009001 s, speed: 66.231992 GFlops
size: 672, time: 0.010171 s, speed: 59.672862 GFlops
size: 676, time: 0.009654 s, speed: 63.997169 GFlops
size: 680, time: 0.009763 s, speed: 64.412972 GFlops
size: 684, time: 0.010391 s, speed: 61.594379 GFlops
size: 688, time: 0.010753 s, speed: 60.571600 GFlops
size: 692, time: 0.010517 s, speed: 63.017516 GFlops
size: 696, time: 0.008964 s, speed: 75.225386 GFlops
size: 700, time: 0.010984 s, speed: 62.453442 GFlops
size: 704, time: 0.009913 s, speed: 70.395400 GFlops
size: 708, time: 0.008409 s, speed: 84.408117 GFlops
size: 712, time: 0.009847 s, speed: 73.311029 GFlops
size: 716, time: 0.011161 s, speed: 65.776653 GFlops
size: 720, time: 0.010794 s, speed: 69.158906 GFlops
size: 724, time: 0.010710 s, speed: 70.868980 GFlops
size: 728, time: 0.010056 s, speed: 76.735805 GFlops
size: 732, time: 0.010437 s, speed: 75.160051 GFlops
size: 736, time: 0.012586 s, speed: 63.354856 GFlops
size: 740, time: 0.012705 s, speed: 63.789249 GFlops
size: 744, time: 0.010656 s, speed: 77.296438 GFlops
size: 748, time: 0.009606 s, speed: 87.133799 GFlops
size: 752, time: 0.012215 s, speed: 69.628198 GFlops
size: 756, time: 0.012030 s, speed: 71.834630 GFlops
size: 760, time: 0.009417 s, speed: 93.229976 GFlops
size: 764, time: 0.010448 s, speed: 85.364594 GFlops
size: 768, time: 0.013515 s, speed: 67.034403 GFlops
size: 772, time: 0.014148 s, speed: 65.040960 GFlops
size: 776, time: 0.014170 s, speed: 65.954952 GFlops
size: 780, time: 0.011872 s, speed: 79.944386 GFlops
size: 784, time: 0.018379 s, speed: 52.439307 GFlops
size: 788, time: 0.014878 s, speed: 65.775337 GFlops
size: 792, time: 0.011873 s, speed: 83.684461 GFlops
size: 796, time: 0.013771 s, speed: 73.249037 GFlops
size: 800, time: 0.014472 s, speed: 70.757287 GFlops
size: 804, time: 0.014089 s, speed: 73.775924 GFlops
size: 808, time: 0.012809 s, speed: 82.365921 GFlops
size: 812, time: 0.014185 s, speed: 75.486662 GFlops
size: 816, time: 0.015033 s, speed: 72.286071 GFlops
size: 820, time: 0.014028 s, speed: 78.609232 GFlops
size: 824, time: 0.014547 s, speed: 76.920489 GFlops
size: 828, time: 0.012802 s, speed: 88.684366 GFlops
size: 832, time: 0.015248 s, speed: 75.541460 GFlops
size: 836, time: 0.012984 s, speed: 90.000940 GFlops
size: 840, time: 0.015386 s, speed: 77.044062 GFlops
size: 844, time: 0.013347 s, speed: 90.088391 GFlops
size: 848, time: 0.016541 s, speed: 73.731943 GFlops
size: 852, time: 0.016220 s, speed: 76.260883 GFlops
size: 856, time: 0.014070 s, speed: 89.157143 GFlops
size: 860, time: 0.015800 s, speed: 80.513422 GFlops
size: 864, time: 0.016651 s, speed: 77.468812 GFlops
size: 868, time: 0.013788 s, speed: 94.861147 GFlops
