size: 568, time: 0.006558 s, speed: 55.886572 GFlops
size: 572, time: 0.003408 s, speed: 109.830816 GFlops
size: 576, time: 0.004460 s, speed: 85.699131 GFlops
size: 580, time: 0.008253 s, speed: 47.282126 GFlops
size: 584, time: 0.004693 s, speed: 84.881899 GFlops
size: 588, time: 0.004640 s, speed: 87.630790 GFlops
size: 592, time: 0.008095 s, speed: 51.259795 GFlops
size: 596, time: 0.004788 s, speed: 88.430095 GFlops
size: 600, time: 0.003267 s, speed: 132.229390 GFlops
size: 604, time: 0.008714 s, speed: 50.573757 GFlops
size: 608, time: 0.004715 s, speed: 95.332334 GFlops
size: 612, time: 0.012706 s, speed: 36.081298 GFlops
size: 616, time: 0.005289 s, speed: 88.391755 GFlops
size: 620, time: 0.011772 s, speed: 40.490940 GFlops
size: 624, time: 0.004927 s, speed: 98.625052 GFlops
size: 628, time: 0.004285 s, speed: 115.597451 GFlops
size: 632, time: 0.009118 s, speed: 55.370421 GFlops
size: 636, time: 0.011071 s, speed: 46.474615 GFlops
size: 640, time: 0.009203 s, speed: 56.969514 GFlops
size: 644, time: 0.005882 s, speed: 90.815661 GFlops
size: 648, time: 0.014738 s, speed: 36.924449 GFlops
size: 652, time: 0.005985 s, speed: 92.620487 GFlops
size: 656, time: 0.015251 s, speed: 37.020769 GFlops
size: 660, time: 0.006079 s, speed: 94.587255 GFlops
size: 664, time: 0.013834 s, speed: 42.323977 GFlops
size: 668, time: 0.015899 s, speed: 37.496535 GFlops
size: 672, time: 0.010491 s, speed: 57.852923 GFlops
size: 676, time: 0.006314 s, speed: 97.850446 GFlops
size: 680, time: 0.015177 s, speed: 41.435298 GFlops
size: 684, time: 0.006370 s, speed: 100.474131 GFlops
size: 688, time: 0.010955 s, speed: 59.453736 GFlops
size: 692, time: 0.004671 s, speed: 141.882689 GFlops
size: 696, time: 0.016698 s, speed: 40.382787 GFlops
size: 700, time: 0.005238 s, speed: 130.970574 GFlops
size: 704, time: 0.011150 s, speed: 62.586066 GFlops
size: 708, time: 0.005309 s, speed: 133.698940 GFlops
size: 712, time: 0.013806 s, speed: 52.288516 GFlops
size: 716, time: 0.005202 s, speed: 141.121806 GFlops
size: 720, time: 0.012151 s, speed: 61.434929 GFlops
size: 724, time: 0.017387 s, speed: 43.653916 GFlops
size: 728, time: 0.007086 s, speed: 108.901844 GFlops
size: 732, time: 0.016322 s, speed: 48.060977 GFlops
size: 736, time: 0.006413 s, speed: 124.337850 GFlops
size: 740, time: 0.014420 s, speed: 56.202925 GFlops
size: 744, time: 0.006338 s, speed: 129.958508 GFlops
size: 748, time: 0.013687 s, speed: 61.153635 GFlops
size: 752, time: 0.016505 s, speed: 51.530922 GFlops
size: 756, time: 0.006940 s, speed: 124.516814 GFlops
size: 760, time: 0.017438 s, speed: 50.347246 GFlops
size: 764, time: 0.007155 s, speed: 124.653357 GFlops
size: 768, time: 0.017069 s, speed: 53.077330 GFlops
size: 772, time: 0.018609 s, speed: 49.449662 GFlops
size: 776, time: 0.016932 s, speed: 55.195876 GFlops
size: 780, time: 0.019951 s, speed: 47.571500 GFlops
size: 784, time: 0.018005 s, speed: 53.528104 GFlops
size: 788, time: 0.017448 s, speed: 56.086501 GFlops
size: 792, time: 0.015929 s, speed: 62.375993 GFlops
size: 796, time: 0.017357 s, speed: 58.115471 GFlops
size: 800, time: 0.017846 s, speed: 57.380226 GFlops
size: 804, time: 0.019329 s, speed: 53.775835 GFlops
size: 808, time: 0.020982 s, speed: 50.282474 GFlops
size: 812, time: 0.018730 s, speed: 57.169190 GFlops
size: 816, time: 0.017843 s, speed: 60.902119 GFlops
size: 820, time: 0.018973 s, speed: 58.121717 GFlops
size: 824, time: 0.017057 s, speed: 65.600083 GFlops
size: 828, time: 0.021928 s, speed: 51.775054 GFlops
size: 832, time: 0.017997 s, speed: 64.002836 GFlops
size: 836, time: 0.020870 s, speed: 55.992131 GFlops
size: 840, time: 0.019387 s, speed: 61.144457 GFlops
size: 844, time: 0.018858 s, speed: 63.762116 GFlops
size: 848, time: 0.017772 s, speed: 68.624061 GFlops
size: 852, time: 0.016780 s, speed: 73.715603 GFlops
size: 856, time: 0.022981 s, speed: 54.585741 GFlops
size: 860, time: 0.018376 s, speed: 69.226396 GFlops
size: 864, time: 0.018919 s, speed: 68.182552 GFlops
size: 868, time: 0.017739 s, speed: 73.733435 GFlops
size: 872, time: 0.020224 s, speed: 65.571556 GFlops
size: 876, time: 0.018747 s, speed: 71.714739 GFlops
size: 880, time: 0.017920 s, speed: 76.057070 GFlops
size: 884, time: 0.018935 s, speed: 72.965374 GFlops
size: 888, time: 0.019083 s, speed: 73.387437 GFlops
size: 892, time: 0.019479 s, speed: 72.871396 GFlops
size: 896, time: 0.020396 s, speed: 70.535727 GFlops
size: 900, time: 0.019272 s, speed: 75.653449 GFlops
size: 904, time: 0.017557 s, speed: 84.155288 GFlops
size: 908, time: 0.017438 s, speed: 85.860317 GFlops
size: 912, time: 0.019140 s, speed: 79.263357 GFlops
size: 916, time: 0.019250 s, speed: 79.852327 GFlops
size: 920, time: 0.020432 s, speed: 76.222413 GFlops
size: 924, time: 0.020998 s, speed: 75.139440 GFlops
size: 928, time: 0.019895 s, speed: 80.340311 GFlops
size: 932, time: 0.018471 s, speed: 87.657133 GFlops
size: 936, time: 0.021356 s, speed: 76.795448 GFlops
size: 940, time: 0.020648 s, speed: 80.451753 GFlops
size: 944, time: 0.019031 s, speed: 88.406313 GFlops
size: 948, time: 0.018447 s, speed: 92.370031 GFlops
